P00734	['Prothrombin', '3.4.21.5', 'Coagulation factor II']
P08559	['1.2.4.1', 'PHE1A', 'PDHE1-A type I', 'Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial']
P53004	['BLVR', 'Biliverdin-IX alpha-reductase', '1.3.1.24', 'Biliverdin reductase A', 'BVR A', 'BVR']
P16219	['Butyryl-CoA dehydrogenase', 'SCAD', '1.3.8.1', 'Short-chain specific acyl-CoA dehydrogenase, mitochondrial']
P00374	['1.5.1.3', 'Dihydrofolate reductase']
Q02218	['Alpha-ketoglutarate dehydrogenase', '2-oxoglutarate dehydrogenase, mitochondrial', 'OGDC-E1', '1.2.4.2', '2-oxoglutarate dehydrogenase complex component E1']
Q9UBM7	['7-DHC reductase', 'D7SR', 'Sterol Delta(7)-reductase', 'Putative sterol reductase SR-2', '7-dehydrocholesterol reductase', '1.3.1.21']
P16083	['Ribosyldihydronicotinamide dehydrogenase [quinone]', 'Quinone reductase 2', '1.10.5.1', 'NRH dehydrogenase [quinone] 2', 'QR2', 'NMOR2', 'NRH:quinone oxidoreductase 2']
P03891	['NADH dehydrogenase subunit 2', 'NADH2', '1.6.5.3', 'NADH-ubiquinone oxidoreductase chain 2', 'ND2', 'MTND2']
P03897	['NADH3', 'NADH-ubiquinone oxidoreductase chain 3', 'MTND3', 'NADH dehydrogenase subunit 3', 'ND3', '1.6.5.3']
O75251	['CI-20kD', 'NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial', 'PSST subunit', 'NADH-ubiquinone oxidoreductase 20 kDa subunit', '1.6.5.3', 'Complex I-20kD']
P30038	['Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial', 'Aldehyde dehydrogenase family 4 member A1', 'L-glutamate gamma-semialdehyde dehydrogenase', 'P5CDH', 'ALDH4', '1.2.1.88', 'P5C dehydrogenase']
P00387	['B5R', 'DIA1', 'NADH-cytochrome b5 reductase 3', 'Diaphorase-1', '1.6.2.2']
Q86Y39	['CI-B14.7', 'NADH-ubiquinone oxidoreductase subunit B14.7', 'Complex I-B14.7', 'NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11']
P03905	['NADH-ubiquinone oxidoreductase chain 4', 'MTND4', '1.6.5.3', 'ND4', 'NADH4', 'NADH dehydrogenase subunit 4']
P09417	['Dihydropteridine reductase', 'HDHPR', 'DHPR', 'Quinoid dihydropteridine reductase', 'Short chain dehydrogenase/reductase family 33C member 1', 'SDR33C1', '1.5.1.34']
P03886	['MTND1', 'NADH-ubiquinone oxidoreductase chain 1', 'NADH dehydrogenase subunit 1', '1.6.5.3', 'NADH1', 'ND1']
Q13423	['1.6.1.2', 'NAD(P) transhydrogenase, mitochondrial', 'Nicotinamide nucleotide transhydrogenase', 'Pyridine nucleotide transhydrogenase']
Q16718	['Complex I subunit B13', 'NADH-ubiquinone oxidoreductase 13 kDa-B subunit', 'NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5', 'CI-13kD-B', 'Complex I-13kD-B']
Q16795	['NDUFS2L', 'NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial', 'Complex I-39kD', 'NADH-ubiquinone oxidoreductase 39 kDa subunit', 'CI-39kD']
P03901	['MTND4L', 'NADH4L', 'NADH-ubiquinone oxidoreductase chain 4L', '1.6.5.3', 'NADH dehydrogenase subunit 4L', 'ND4L']
O95299	['NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial', 'Complex I-42kD', 'NADH-ubiquinone oxidoreductase 42 kDa subunit', 'CI-42kD']
O95182	['NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7', 'Complex I-B14.5a', 'NADH-ubiquinone oxidoreductase subunit B14.5a', 'CI-B14.5a']
O15239	['NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1', 'CI-MWFE', 'NADH-ubiquinone oxidoreductase MWFE subunit', 'Complex I-MWFE']
P03923	['ND6', 'NADH6', 'NADH-ubiquinone oxidoreductase chain 6', 'NADH dehydrogenase subunit 6', '1.6.5.3', 'MTND6']
P03915	['NADH dehydrogenase subunit 5', 'NADH-ubiquinone oxidoreductase chain 5', 'ND5', '1.6.5.3', 'NADH5', 'MTND5']
O00483	['Cytochrome c oxidase subunit NDUFA4', 'NADH-ubiquinone oxidoreductase MLRQ subunit', 'Complex I-MLRQ', 'CI-MLRQ']
P56556	['NADHB14', 'LYRM6', 'NADH-ubiquinone oxidoreductase B14 subunit', 'CI-B14', 'Complex I-B14', 'LYR motif-containing protein 6', 'NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6']
O14561	['ACP', 'NADH-ubiquinone oxidoreductase 9.6 kDa subunit', 'CI-SDAP', 'Acyl carrier protein, mitochondrial']
O43678	['CI-B8', 'Complex I-B8', 'NADH-ubiquinone oxidoreductase B8 subunit', 'NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2']
P51970	['CI-19kD', 'Complex I-19kD', 'CI-PGIV', 'NADH-ubiquinone oxidoreductase 19 kDa subunit', 'Complex I-PGIV', 'NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8']
O95167	['NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3', 'Complex I-B9', 'NADH-ubiquinone oxidoreductase B9 subunit', 'CI-B9']
O95169	['Complex I-ASHI', 'NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial', 'CI-ASHI', 'NADH-ubiquinone oxidoreductase ASHI subunit']
O95298	['Human lung cancer oncogene 1 protein', 'HLC-1', 'NADH-ubiquinone oxidoreductase subunit B14.5b', 'CI-B14.5b', 'NADH dehydrogenase [ubiquinone] 1 subunit C2', 'Complex I-B14.5b']
O75438	['Complex I-MNLL', 'NADH-ubiquinone oxidoreductase MNLL subunit', 'NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1', 'CI-MNLL']
P28331	['NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial', 'Complex I-75kD', '1.6.5.3', 'CI-75kD']
O96000	['NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10', 'Complex I-PDSW', 'NADH-ubiquinone oxidoreductase PDSW subunit', 'CI-PDSW']
O95168	['NADH-ubiquinone oxidoreductase B15 subunit', 'NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4', 'CI-B15', 'Complex I-B15']
O43676	['Complex I-B12', 'NADH-ubiquinone oxidoreductase B12 subunit', 'NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3', 'CI-B12']
O95178	['Complex I-AGGG', 'NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial', 'CI-AGGG', 'NADH-ubiquinone oxidoreductase AGGG subunit']
P17568	['Complex I-B18', 'NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7', 'Cell adhesion protein SQM1', 'CI-B18', 'NADH-ubiquinone oxidoreductase B18 subunit']
Q9Y6M9	['NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9', 'LYR motif-containing protein 3', 'NADH-ubiquinone oxidoreductase B22 subunit', 'LYRM3', 'CI-B22', 'UQOR22', 'Complex I-B22']
O75306	['NADH-ubiquinone oxidoreductase 49 kDa subunit', 'Complex I-49kD', 'NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial', '1.6.5.3', 'CI-49kD']
O43674	['NADH-ubiquinone oxidoreductase SGDH subunit', 'Complex I-SGDH', 'NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial', 'CI-SGDH']
O43677	['NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial', 'CI-KFYI', 'Complex I-KFYI', 'NADH-ubiquinone oxidoreductase KFYI subunit']
O95139	['CI-B17', 'Complex I-B17', 'NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6', 'NADH-ubiquinone oxidoreductase B17 subunit']
P56181	['NADH-ubiquinone oxidoreductase 9 kDa subunit', 'Complex I-9kD', 'NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial', 'Renal carcinoma antigen NY-REN-4', 'CI-9kD']
P09622	['PHE3', 'Glycine cleavage system L protein', 'GCSL', 'Dihydrolipoyl dehydrogenase, mitochondrial', 'LAD', 'Dihydrolipoamide dehydrogenase', '1.8.1.4']
O75489	['NADH-ubiquinone oxidoreductase 30 kDa subunit', 'Complex I-30kD', '1.6.5.3', 'CI-30kD', 'NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial']
Q9UI09	['CIB17.2', 'CI-B17.2', 'NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12', 'DAP13', 'Complex I-B17.2', 'NADH-ubiquinone oxidoreductase subunit B17.2', '13 kDa differentiation-associated protein']
O43920	['Complex I-15 kDa', 'CI-15 kDa', 'NADH-ubiquinone oxidoreductase 15 kDa subunit', 'NADH dehydrogenase [ubiquinone] iron-sulfur protein 5']
O43181	['NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial', 'CI-18 kDa', 'NADH-ubiquinone oxidoreductase 18 kDa subunit', 'CI-AQDQ', 'Complex I-AQDQ', 'Complex I-18 kDa']
P49821	['CI-51kD', 'NADH-ubiquinone oxidoreductase 51 kDa subunit', '1.6.5.3', 'UQOR1', 'NADH dehydrogenase flavoprotein 1', 'NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial', 'Complex I-51kD']
P19404	['NADH-ubiquinone oxidoreductase 24 kDa subunit', 'NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial', '1.6.5.3']
Q9P0J0	['CI-B16.6', 'Cell death regulatory protein GRIM-19', 'Gene associated with retinoic and IFN-induced mortality 19 protein', 'NADH-ubiquinone oxidoreductase B16.6 subunit', 'GRIM19', 'NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13', 'GRIM-19', 'Gene associated with retinoic and interferon-induced mortality 19 protein', 'Complex I-B16.6']
O75380	['NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial', 'CI-13kD-A', 'NADH-ubiquinone oxidoreductase 13 kDa-A subunit', 'Complex I-13kD-A']
Q9NRX3	['NUOMS', 'NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2', 'NADH-ubiquinone oxidoreductase MLRQ subunit homolog']
O00217	['Complex I-23kD', 'NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial', 'NADH-ubiquinone oxidoreductase 23 kDa subunit', 'TYKY subunit', 'CI-23kD', '1.6.5.3']
Q02928	['Cytochrome P450HL-omega', 'CYP4AII', 'Fatty acid omega-hydroxylase', '20-HETE synthase', 'CYP4A2', 'Long-chain fatty acid omega-monooxygenase', 'Lauric acid omega-hydroxylase', 'CYPIVA11', '20-hydroxyeicosatetraenoic acid synthase', 'Cytochrome P-450HK-omega', 'Cytochrome P450 4A11']
P10515	['Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial', 'DLTA', '2.3.1.12', 'M2 antigen complex 70 kDa subunit', 'PDCE2', 'PDC-E2', 'Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex', '70 kDa mitochondrial autoantigen of primary biliary cirrhosis', 'Pyruvate dehydrogenase complex component E2', 'PBC']
Q15800	['1.14.13.72', 'ERG25', 'Methylsterol monooxygenase 1', 'DESP4', 'SC4MOL', 'C-4 methylsterol oxidase']
P09601	['Heme oxygenase 1', 'HO', 'HO1', '1.14.14.18', 'HO-1']
P30519	['Heme oxygenase 2', 'HO2', 'HO-2', '1.14.14.18']
P05093	['Cytochrome P450c17', 'CYPXVII', 'CYP17', '17-alpha-hydroxyprogesterone aldolase', 'S17AH', '1.14.14.19', 'Steroid 17-alpha-monooxygenase', 'Steroid 17-alpha-hydroxylase/17,20 lyase', 'Cytochrome P450-C17', 'Cytochrome P450 17A1']
P14679	['1.14.18.1', 'LB24-AB', 'Tumor rejection antigen AB', 'SK29-AB', 'Tyrosinase', 'Monophenol monooxygenase']
P41439	['FR-gamma', 'Folate receptor gamma', 'Folate receptor 3']
P14207	['Folate receptor 2', 'Folate receptor, fetal/placental', 'FBP', 'Folate receptor beta', 'FR-beta', 'Placental folate-binding protein']
P15328	['Adult folate-binding protein', 'KB cells FBP', 'FBP', 'Folate receptor, adult', 'Folate receptor alpha', 'FR-alpha', 'Folate receptor 1', 'FOLR', 'Ovarian tumor-associated antigen MOv18']
O60488	['6.2.1.3', 'LACS 4', 'Long-chain-fatty-acid--CoA ligase 4', 'FACL4', 'Long-chain acyl-CoA synthetase 4', 'ACS4', 'LACS4']
O14842	['G-protein coupled receptor 40', 'GPR40', 'Free fatty acid receptor 1']
O15540	['MRG', 'B-FABP', 'Brain lipid-binding protein', 'Brain-type fatty acid-binding protein', 'Mammary-derived growth inhibitor related', 'Fatty acid-binding protein, brain', 'FABPB', 'Fatty acid-binding protein 7', 'BLBP']
Q5JTZ9	['AARSL', 'KIAA1270', 'Alanyl-tRNA synthetase', 'AlaRS', 'Alanine--tRNA ligase, mitochondrial', '6.1.1.7']
Q7Z2H8	['PAT1', 'Solute carrier family 36 member 1', 'Proton/amino acid transporter 1', 'Proton-coupled amino acid transporter 1']
P49588	['Alanyl-tRNA synthetase', 'AlaRS', '6.1.1.7', 'Renal carcinoma antigen NY-REN-42', 'Alanine--tRNA ligase, cytoplasmic']
P43007	['Alanine/serine/cysteine/threonine transporter 1', 'Solute carrier family 1 member 4', 'ASCT-1', 'SATT', 'ASCT1', 'Neutral amino acid transporter A']
P26640	['Protein G7a', 'G7A', 'VARS2', 'Valyl-tRNA synthetase', 'Valine--tRNA ligase', 'ValRS', '6.1.1.9']
Q96NR8	['1.1.1.-', 'Short chain dehydrogenase/reductase family 7C member 2', 'Retinol dehydrogenase 12', 'SDR7C2', 'All-trans and 9-cis retinol dehydrogenase']
O75911	['Short-chain dehydrogenase/reductase 3', 'RDH17', '1.1.1.300', 'Retinal short-chain dehydrogenase/reductase 1', 'DD83.1', 'Retinol dehydrogenase 17', 'Short chain dehydrogenase/reductase family 16C member 1', 'SDR16C1', 'retSDR1']
Q6NUM9	['All-trans-13,14-dihydroretinol saturase', 'PPSIG', 'PPAR-alpha-regulated and starvation-induced gene protein', '1.3.99.23', 'All-trans-retinol 13,14-reductase', 'RetSat']
Q8TC12	['Androgen-regulated short-chain dehydrogenase/reductase 1', 'Retinol dehydrogenase 11', 'Short chain dehydrogenase/reductase family 7C member 1', '1.1.1.300', 'PSDR1', 'ARSDR1', 'Prostate short-chain dehydrogenase/reductase 1', 'SDR7C1', 'RalR1', 'Retinal reductase 1', 'HCV core-binding protein HCBP12']
Q9BTZ2	['CR', 'Peroxisomal short-chain alcohol dehydrogenase', 'Dehydrogenase/reductase SDR family member 4', 'PHCR', 'SDR25C2', 'NRDR', 'PSCD', '1.1.1.184', 'humNRDR', 'Short chain dehydrogenase/reductase family 25C member 2', 'NADPH-dependent retinol dehydrogenase/reductase', 'Short-chain dehydrogenase/reductase family member 4', 'SCAD-SRL', 'NADPH-dependent carbonyl reductase/NADP-retinol dehydrogenase']
Q9HBH5	['1.1.1.-', 'Retinol dehydrogenase 14', 'SDR7C4', 'Short chain dehydrogenase/reductase family 7C member 4', 'PAN2', 'Alcohol dehydrogenase PAN2']
Q9NYR8	['Photoreceptor outer segment all-trans retinol dehydrogenase', '1.1.1.300', 'SDR28C2', 'PRRDH', 'Retinol dehydrogenase 8', 'Short chain dehydrogenase/reductase family 28C member 2']
O95237	['2.3.1.135', 'Lecithin retinol acyltransferase', 'Phosphatidylcholine--retinol O-acyltransferase']
Q8NBN7	['Retinol dehydrogenase 13', 'SDR7C3', 'Short chain dehydrogenase/reductase family 7C member 3', '1.1.1.-']
P05090	['Apo-D', 'Apolipoprotein D']
P41222	['PGDS2', '5.3.99.2', 'Glutathione-independent PGD synthase', 'PGDS', 'Beta-trace protein', 'Prostaglandin-D2 synthase', 'Cerebrin-28', 'PGD2 synthase', 'Lipocalin-type prostaglandin-D synthase', 'PDS', 'Prostaglandin-H2 D-isomerase']
O75469	['Orphan nuclear receptor PXR', 'Orphan nuclear receptor PAR1', 'SXR', 'PXR', 'Steroid and xenobiotic receptor', 'Pregnane X receptor', 'Nuclear receptor subfamily 1 group I member 2']
P05771	['Protein kinase C beta type', 'PRKCB1', 'PKCB', 'PKC-B', '2.7.11.13']
P09917	['Arachidonate 5-lipoxygenase', '1.13.11.34', 'LOG5', '5-LO']
P23743	['DGK-alpha', '2.7.1.107', 'DAGK', '80 kDa diacylglycerol kinase', 'DAG kinase alpha', 'Diacylglycerol kinase alpha', 'Diglyceride kinase alpha', 'DAGK1']
P62714	['Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform', 'PP2A-beta', '3.1.3.16']
P67775	['RP-C', 'Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform', 'Replication protein C', 'PP2A-alpha', '3.1.3.16']
Q9UDX3	['SEC14-like protein 4', 'Tocopherol-associated protein 3', 'TAP3']
Q9UDX4	['Tocopherol-associated protein 2', 'SEC14-like protein 3', 'TAP2']
O76054	['hTAP', 'SPF', 'Squalene transfer protein', 'SEC14-like protein 2', 'KIAA1658', 'KIAA1186', 'C22orf6', 'Supernatant protein factor', 'TAP', 'Alpha-tocopherol-associated protein']
Q9Y234	['2.3.1.-', 'Lipoate-protein ligase', 'Lipoyl ligase', 'Lipoate biosynthesis protein', 'Lipoyltransferase 1, mitochondrial']
O43766	['Lipoate synthase', '2.8.1.8', 'Lipoic acid synthase', 'LS', 'LAS', 'Lip-syn', 'Lipoyl synthase, mitochondrial']
Q9Y289	['Solute carrier family 5 member 6', 'Na(+)-dependent multivitamin transporter', 'Sodium-dependent multivitamin transporter', 'SMVT']
Q9NSE4	['Isoleucine--tRNA ligase, mitochondrial', 'Isoleucyl-tRNA synthetase', '6.1.1.5', 'IleRS']
P45954	['2-methyl branched chain acyl-CoA dehydrogenase', '1.3.8.5', '2-methylbutyryl-coenzyme A dehydrogenase', 'Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial', '2-methylbutyryl-CoA dehydrogenase', '2-MEBCAD', 'SBCAD']
P41252	['Isoleucine--tRNA ligase, cytoplasmic', '6.1.1.5', 'Isoleucyl-tRNA synthetase', 'IleRS', 'IRS']
Q8TE23	['TR2', 'GPR71', 'Taste receptor type 1 member 2', 'T1R2', 'Sweet taste receptor T1R2', 'G-protein coupled receptor 71']
Q7RTX0	['TR3', 'Taste receptor type 1 member 3', 'Sweet taste receptor T1R3', 'T1R3']
Q9BQB6	['1.17.4.4', 'Vitamin K epoxide reductase complex subunit 1', 'VKOR', 'Vitamin K1 2,3-epoxide reductase subunit 1']
Q8N0U8	['Vitamin K epoxide reductase complex subunit 1-like protein 1', '1.17.4.4', 'VKORC1-like protein 1']
P04070	['Autoprothrombin IIA', '3.4.21.69', 'Blood coagulation factor XIV', 'Anticoagulant protein C', 'Vitamin K-dependent protein C']
P15559	['Menadione reductase', 'Azoreductase', 'DTD', 'NMOR1', 'Phylloquinone reductase', 'Quinone reductase 1', 'NAD(P)H:quinone oxidoreductase 1', 'DIA4', 'DT-diaphorase', '1.6.5.2', 'QR1', 'NAD(P)H dehydrogenase [quinone] 1']
P02818	['Gamma-carboxyglutamic acid-containing protein', 'BGP', 'Osteocalcin', 'Bone Gla protein']
P42684	['ABLL', '2.7.10.2', 'ARG', 'Abelson tyrosine-protein kinase 2', 'Abelson murine leukemia viral oncogene homolog 2', 'Tyrosine-protein kinase ARG', 'Abelson-related gene protein']
P08183	['P-glycoprotein 1', '3.6.3.44', 'Multidrug resistance protein 1', 'PGY1', 'ATP-binding cassette sub-family B member 1', 'MDR1']
P45844	['WHT1', 'ATP-binding cassette transporter 8', 'White protein homolog', 'ABC8', 'ATP-binding cassette sub-family G member 1']
Q92887	['ATP-binding cassette sub-family C member 2', 'MRP2', 'Multidrug resistance-associated protein 2', 'CMOAT1', 'Canalicular multispecific organic anion transporter 1', 'CMOAT', 'CMRP', 'Canalicular multidrug resistance protein']
O95477	['ATP-binding cassette sub-family A member 1', 'ATP-binding cassette transporter 1', 'ATP-binding cassette 1', 'CERP', 'ABC1', 'Cholesterol efflux regulatory protein', 'ABC-1']
Q9UM73	['2.7.10.1', 'ALK tyrosine kinase receptor', 'Anaplastic lymphoma kinase']
Q13564	['APP-BP1', 'Amyloid protein-binding protein 1', 'NEDD8-activating enzyme E1 regulatory subunit', 'Amyloid beta precursor protein-binding protein 1, 59 kDa', 'Proto-oncogene protein 1', 'APPBP1']
P10398	['Proto-oncogene A-Raf', 'Proto-oncogene A-Raf-1', 'PKS2', '2.7.11.1', 'ARAF1', 'PKS', 'Proto-oncogene Pks', 'Serine/threonine-protein kinase A-Raf']
P37023	['Activin receptor-like kinase 1', 'ALK-1', 'TSR-I', 'SKR3', 'TGF-B superfamily receptor type I', 'ACVRLK1', 'ALK1', 'Serine/threonine-protein kinase receptor R3', '2.7.11.30']
P49902	['PNT5', 'NT5CP', '3.1.3.5', 'NT5B', "Cytosolic purine 5'-nucleotidase", "Cytosolic 5'-nucleotidase II"]
O43681	['hARSA-I', 'hASNA-I', 'TRC40', 'ATPase ASNA1', 'Arsenite-stimulated ATPase', 'Transmembrane domain recognition complex 40 kDa ATPase subunit', 'Arsenical pump-driving ATPase', 'ARSA', '3.6.-.-']
O60706	['Sulfonylurea receptor 2', 'ATP-binding cassette sub-family C member 9', 'SUR2']
P31749	['RAC-PK-alpha', 'Protein kinase B', 'RAC', 'PKB', 'RAC-alpha serine/threonine-protein kinase', '2.7.11.1', 'Protein kinase B alpha', 'Proto-oncogene c-Akt', 'PKB alpha']
P25098	['Beta-adrenergic receptor kinase 1', '2.7.11.15', 'Beta-ARK-1', 'BARK1', 'GRK2', 'BARK', 'G-protein coupled receptor kinase 2']
O14727	['KIAA0413', 'APAF-1', 'Apoptotic protease-activating factor 1']
Q9NUB1	['Acetate--CoA ligase 2', 'Acetyl-coenzyme A synthetase 2-like, mitochondrial', 'ACAS2L', 'KIAA1846', 'Acyl-CoA synthetase short-chain family member 1', '6.2.1.1', 'Acetyl-CoA synthetase 2', 'AceCS2']
P36896	['Activin receptor type IB', 'SKR2', 'Activin receptor-like kinase 4', 'Serine/threonine-protein kinase receptor R2', 'ALK-4', 'Activin receptor type-1B', 'ACVRLK4', 'ALK4', 'ACTR-IB', '2.7.11.30']
Q04771	['Activin receptor type I', 'Activin receptor type-1', 'Serine/threonine-protein kinase receptor R1', 'SKR1', 'TSR-I', 'TGF-B superfamily receptor type I', 'ACVRLK2', 'ACTR-I', 'Activin receptor-like kinase 2', 'ALK-2', '2.7.11.30']
O95342	['BSEP', 'ATP-binding cassette sub-family B member 11', 'Bile salt export pump']
Q96Q40	['ALS2CR7', '2.7.11.22', 'PFTK2', 'Serine/threonine-protein kinase PFTAIRE-2', 'Cyclin-dependent kinase 15', 'Cell division protein kinase 15', 'Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 7 protein', 'Serine/threonine-protein kinase ALS2CR7']
P12235	['ADP,ATP carrier protein, heart/skeletal muscle isoform T1', 'ADP/ATP translocase 1', 'ANT1', 'ADP,ATP carrier protein 1', 'Solute carrier family 25 member 4', 'ANT 1', 'Adenine nucleotide translocator 1']
Q09428	['ATP-binding cassette sub-family C member 8', 'Sulfonylurea receptor 1', 'SUR', 'SUR1', 'HRINS']
Q9Y4W6	['Paraplegin-like protein', 'AFG3-like protein 2', '3.4.24.-']
P35626	['2.7.11.15', 'G-protein-coupled receptor kinase 3', 'GRK3', 'Beta-adrenergic receptor kinase 2', 'Beta-ARK-2', 'BARK2']
Q16671	['MIS type II receptor', 'AMHR', 'MISRII', 'AMH type II receptor', 'MRII', 'Anti-Muellerian hormone type II receptor', 'Anti-Muellerian hormone type-2 receptor', 'MISR2', '2.7.11.30']
Q07912	['Tyrosine kinase non-receptor protein 2', 'Activated CDC42 kinase 1', '2.7.10.2', 'ACK1', 'ACK-1']
P00519	['Proto-oncogene c-Abl', 'Abelson murine leukemia viral oncogene homolog 1', 'JTK7', '2.7.10.2', 'p150', 'ABL', 'Abelson tyrosine-protein kinase 1', 'Tyrosine-protein kinase ABL1']
O95255	['Multi-specific organic anion transporter E', 'Multidrug resistance-associated protein 6', 'Anthracycline resistance-associated protein', 'ATP-binding cassette sub-family C member 6', 'MRP6', 'MOAT-E', 'ARA']
O15439	['ATP-binding cassette sub-family C member 4', 'Multi-specific organic anion transporter B', 'MOAT-B', 'Multidrug resistance-associated protein 4', 'MRP/cMOAT-related ABC transporter', 'MRP4']
P33527	['LTC4 transporter', 'MRP1', 'ATP-binding cassette sub-family C member 1', 'Multidrug resistance-associated protein 1', 'Leukotriene C(4) transporter', 'MRP']
